Brand,Model,Body_Type,Fuel,Transmission,Owner,Owner_No,Year,KM,Price,Seats,Engine_CC,Power,City
Kia,Kia Sonet,SUV,Petrol,Automatic,1st Owner,1,2022,20000.0,1150000.0,5.0,998.0,118.36bhp,Chennai
Maruti,Maruti Eeco,Minivans,Petrol,Manual,1st Owner,1,2015,20687.0,415000.00000000006,7.0,1196.0,73bhp,Chennai
Nissan,Nissan Magnite,SUV,Petrol,Manual,1st Owner,1,2021,30000.0,750000.0,5.0,999.0,98.63bhp,Chennai
Hyundai,Hyundai i10,Hatchback,Petrol,Manual,1st Owner,1,2015,59247.0,398000.0,5.0,1086.0,68.05bhp,Chennai
Honda,Honda Jazz,Hatchback,Petrol,Manual,1st Owner,1,2015,50000.0,550000.0,5.0,1199.0,88.7bhp,Chennai
Mercedes-Benz,Mercedes-Benz E-Class,Sedan,Diesel,Automatic,1st Owner,1,2016,20000.0,3300000.0,5.0,2143.0,204bhp,Chennai
Maruti,Maruti Celerio,Hatchback,Petrol,Automatic,1st Owner,1,2016,29403.0,453000.0,5.0,998.0,67.04bhp,Chennai
Maruti,Maruti A-Star,Hatchback,Petrol,Manual,1st Owner,1,2010,42700.0,285000.0,5.0,998.0,66.1bhp,Chennai
BMW,BMW X3,SUV,Diesel,Automatic,1st Owner,1,2018,23001.0,5000000.0,5.0,1995.0,187.7bhp,Chennai
Ford,Ford Ecosport,SUV,Petrol,Automatic,2nd Owner,2,2018,25925.0,821000.0000000001,5.0,1497.0,121.36bhp,Chennai
Hyundai,Hyundai i20,Hatchback,Petrol,Manual,1st Owner,1,2021,20000.0,865000.0,5.0,1197.0,81.80bhp,Chennai
Honda,Honda Jazz,Hatchback,Petrol,Automatic,1st Owner,1,2019,17711.0,792000.0,5.0,1199.0,88.7bhp,Chennai
BMW,BMW 3 Series,Sedan,Diesel,Automatic,1st Owner,1,2020,50000.0,4050000.0,5.0,1995.0,187.74bhp,Chennai
Maruti,Maruti Swift,Hatchback,Petrol,Manual,1st Owner,1,2018,50000.0,610000.0,5.0,1197.0,81.80bhp,Chennai
Hyundai,Hyundai Grand i10,Hatchback,Petrol,Manual,2nd Owner,2,2018,51125.0,511000.00000000006,5.0,1197.0,81.86bhp,Chennai
Tata,Tata Nexon,SUV,Diesel,Manual,1st Owner,1,2019,69233.0,710000.0,5.0,1497.0,108.5bhp,Chennai
Jeep,Jeep Compass,SUV,Diesel,Manual,1st Owner,1,2017,65000.0,1225000.0,5.0,1956.0,167.67bhp,Chennai
Honda,Honda City,Sedan,Petrol,Manual,1st Owner,1,2014,93281.0,570000.0,5.0,1497.0,117.3bhp,Chennai
Toyota,Toyota Fortuner,SUV,Diesel,Manual,1st Owner,1,2022,18000.0,3900000.0,7.0,2755.0,201.15bhp,Chennai
Honda,Honda Amaze,Sedan,Petrol,Manual,2nd Owner,2,2014,99225.0,375000.0,5.0,1198.0,86.7bhp,Chennai
Hyundai,Hyundai EON,Hatchback,Petrol,Manual,1st Owner,1,2016,30000.0,275000.0,5.0,998.0,68.05bhp,Chennai
Honda,Honda Amaze,Sedan,Petrol,Manual,1st Owner,1,2014,30602.0,429000.0,5.0,1198.0,86.7bhp,Chennai
Maruti,Maruti Swift,Hatchback,Diesel,Manual,1st Owner,1,2018,64500.0,675000.0,5.0,1248.0,74bhp,Chennai
Honda,Honda City,Sedan,Petrol,Manual,2nd Owner,2,2017,46809.0,793000.0,5.0,1497.0,117.3bhp,Chennai
Tata,Tata Nexon EV,SUV,Electric,Automatic,1st Owner,1,2020,20000.0,1100000.0,5.0,0.0,127bhp,Chennai
Hyundai,Hyundai Creta,SUV,Diesel,Automatic,1st Owner,1,2019,20000.0,1425000.0,5.0,1582.0,126.2bhp,Chennai
Hyundai,Hyundai Venue,SUV,Petrol,Automatic,1st Owner,1,2020,21725.0,1036000.0,5.0,998.0,118.35bhp,Chennai
Honda,Honda City,Sedan,Petrol,Manual,1st Owner,1,2016,80000.0,800000.0,5.0,1497.0,117.3bhp,Chennai
Audi,Audi A6,Sedan,Petrol,Automatic,2nd Owner,2,2013,88000.0,1400000.0,5.0,1984.0,177.01bhp,Chennai
Honda,Honda City,Sedan,Petrol,Automatic,2nd Owner,2,2019,30360.0,1088000.0,5.0,1497.0,117.6bhp,Chennai
Maruti,Maruti Baleno,Hatchback,Petrol,Automatic,2nd Owner,2,2017,70000.0,590000.0,5.0,1197.0,83.1bhp,Chennai
Hyundai,Hyundai Grand i10,Hatchback,Petrol,Manual,1st Owner,1,2016,16246.0,568000.0,5.0,1197.0,82bhp,Chennai
Maruti,Maruti Celerio,Hatchback,Petrol,Automatic,2nd Owner,2,2017,55000.0,400000.0,5.0,998.0,67.04bhp,Chennai
Toyota,Toyota Innova Crysta,MUV,Petrol,Automatic,1st Owner,1,2022,13000.0,2790000.0,7.0,2694.0,163.60bhp,Chennai
Maruti,Maruti Celerio,Hatchback,Petrol,Automatic,2nd Owner,2,2016,71638.0,422000.0,5.0,998.0,67.04bhp,Chennai
Honda,Honda Amaze,Sedan,Petrol,Manual,1st Owner,1,2015,46105.0,450000.0,5.0,1198.0,86.7bhp,Chennai
Honda,Honda WR-V,SUV,Petrol,Manual,1st Owner,1,2017,60000.0,650000.0,5.0,1199.0,88.7bhp,Chennai
Honda,Honda Jazz,Hatchback,Diesel,Manual,1st Owner,1,2017,80000.0,575000.0,5.0,1498.0,98.6bhp,Chennai
Mercedes-Benz,Mercedes-Benz B Class,Hatchback,Diesel,Automatic,1st Owner,1,2015,58000.0,1950000.0,5.0,2143.0,107.3bhp,Chennai
Maruti,Maruti Esteem,Sedan,Petrol,Manual,2nd Owner,2,2008,70000.0,150000.0,5.0,1298.0,85 PS ,Chennai
Maruti,Maruti Baleno,Hatchback,Petrol,Automatic,1st Owner,1,2017,61764.0,702000.0,5.0,1197.0,83.1bhp,Chennai
Mahindra,Mahindra KUV 100,SUV,Petrol,Manual,2nd Owner,2,2016,36018.0,448000.00000000006,6.0,1198.0,82bhp,Chennai
Renault,Renault Duster,SUV,Diesel,Automatic,1st Owner,1,2016,150000.0,650000.0,5.0,1461.0,108.45bhp,Chennai
Hyundai,Hyundai Grand i10 Nios,Hatchback,Petrol,Manual,1st Owner,1,2022,17197.0,801000.0,5.0,998.0,98.63bhp,Chennai
Honda,Honda City,Sedan,Petrol,Automatic,2nd Owner,2,2016,62931.0,772000.0,5.0,1497.0,117.3bhp,Chennai
Toyota,Toyota Corolla Altis,Sedan,Petrol,Manual,2nd Owner,2,2013,90000.0,500000.0,5.0,1798.0,138.1bhp,Chennai
Mahindra,Mahindra XUV300,SUV,Petrol,Manual,1st Owner,1,2021,21023.0,1103000.0,5.0,1197.0,108.62bhp,Chennai
Toyota,Toyota Corolla Altis,Sedan,Diesel,Manual,1st Owner,1,2018,43000.0,1490000.0,5.0,1364.0,86.79bhp,Chennai
Maruti,Maruti Swift Dzire,Sedan,Diesel,Automatic,1st Owner,1,2017,110505.0,627000.0,5.0,1248.0,74.02bhp,Chennai
Hyundai,Hyundai Verna,Sedan,Petrol,Manual,1st Owner,1,2018,78892.0,835000.0,5.0,1591.0,121.3bhp,Chennai
Audi,Audi A6,Sedan,Diesel,Automatic,1st Owner,1,2015,59000.0,2089999.9999999998,5.0,1968.0,187.74bhp,Chennai
Chevrolet,Chevrolet Sail,Sedan,Petrol,Manual,1st Owner,1,2014,90058.0,350000.0,5.0,1199.0,82.4bhp,Chennai
Audi,Audi Q5,SUV,Diesel,Automatic,1st Owner,1,2015,69000.0,2100000.0,5.0,2967.0,241.4bhp,Chennai
Honda,Honda WR-V,SUV,Diesel,Manual,1st Owner,1,2019,67000.0,925000.0,5.0,1498.0,98.6bhp,Chennai
Maruti,Maruti Ciaz,Sedan,Diesel,Manual,1st Owner,1,2017,80000.0,850000.0,5.0,1248.0,88.5bhp,Chennai
Maruti,Maruti Ciaz,Sedan,Diesel,Manual,1st Owner,1,2017,80000.0,850000.0,5.0,1248.0,88.5bhp,Chennai
Audi,Audi Q7,SUV,Diesel,Automatic,1st Owner,1,2020,57000.0,6600000.0,7.0,2967.0,245bhp,Chennai
Toyota,Toyota Innova Crysta,MUV,Diesel,Manual,1st Owner,1,2018,800000.0,2150000.0,8.0,2393.0,147.8bhp,Chennai
Mercedes-Benz,Mercedes-Benz C-Class,Sedan,Diesel,Automatic,1st Owner,1,2018,5500000.0,3600000.0,5.0,2143.0,167.62bhp,Chennai
BMW,BMW 7 Series,Sedan,Diesel,Automatic,1st Owner,1,2017,27000.0,6800000.0,5.0,2993.0,258bhp,Chennai
Tata,Tata Nexon,SUV,Petrol,Manual,1st Owner,1,2018,38334.0,707000.0,5.0,1198.0,108.5bhp,Chennai
Volkswagen,Volkswagen Polo,Hatchback,Petrol,Manual,1st Owner,1,2019,36992.0,680000.0,5.0,999.0,75.10bhp,Chennai
BMW,BMW X3,SUV,Diesel,Automatic,2nd Owner,2,2016,50000.0,3750000.0,5.0,2993.0,258bhp,Chennai
Tata,Tata New Safari,SUV,Diesel,Automatic,1st Owner,1,2021,34596.0,2039000.0,6.0,1956.0,167.67bhp,Chennai
Datsun,Datsun GO,Hatchback,Petrol,Manual,1st Owner,1,2019,84564.0,401000.0,5.0,1198.0,67.05bhp,Chennai
Mercedes-Benz,Mercedes-Benz E-Class,Sedan,Diesel,Automatic,2nd Owner,2,2013,60001.0,2150000.0,5.0,2143.0,204bhp,Chennai
Hyundai,Hyundai Santro,Hatchback,Petrol,Manual,1st Owner,1,2018,23462.0,505000.0,5.0,1086.0,68bhp,Chennai
Volkswagen,Volkswagen Taigun,SUV,Petrol,Automatic,1st Owner,1,2022,13000.0,1599000.0,5.0,999.0,113.98bhp,Chennai
Honda,Honda Amaze,Sedan,Diesel,Automatic,1st Owner,1,2019,54658.0,830000.0000000001,5.0,1498.0,78.9bhp,Chennai
Mahindra,Mahindra XUV300,SUV,Petrol,Manual,1st Owner,1,2020,34164.0,1036000.0,5.0,1197.0,108.62bhp,Chennai
Kia,Kia Seltos,SUV,Petrol,Manual,1st Owner,1,2022,10000.0,1595000.0,5.0,1497.0,113.43bhp,Chennai
Fiat,Fiat Punto,Hatchback,Petrol,Manual,3rd Owner,3,2010,70000.0,100000.0,5.0,1368.0,88.7bhp,Chennai
Hyundai,Hyundai Venue,SUV,Petrol,Manual,1st Owner,1,2020,37000.0,825000.0,5.0,1197.0,81.86bhp,Chennai
Mahindra,Mahindra XUV700,SUV,Diesel,Automatic,1st Owner,1,2022,20000.0,2900000.0,7.0,2198.0,182.38bhp,Chennai
Maruti,Maruti Baleno,Hatchback,Petrol,Manual,1st Owner,1,2016,53967.0,550000.0,5.0,1197.0,83.1bhp,Chennai
